Name,W,H,File Type,Scale,File Name,Output Folder,
iPadLandscape,1024,748,png,1,iPadLandscape_1024x748.png,iOS_Launch,
iPadLandscape,2048,1496,png,2,iPadLandscape_1024x748@2x.png,iOS_Launch,
,,,,,,,
,,,,,,,
iOS App Store,,,,,,,
appIcon,1024,1024,png,1,appIcon_1024x1024.png,iOS_AppStore,
screenshot4.7inch,,,png,1,screenshot4.7inch_0x0.png,iOS_AppStore,
screenshot5.5inch,,,png,1,screenshot5.5inch_0x0.png,iOS_AppStore,
screenshot4inch,,,png,1,screenshot4inch_0x0.png,iOS_AppStore,
screenshot3.5inch,,,png,1,screenshot3.5inch_0x0.png,iOS_AppStore,
iPad,,,png,1,iPad_0x0.png,iOS_AppStore,
,,,,,,,
,,,,,,,
Indie Game Stand,,,,,,,
gameCoverImage,1920,1080,png,1,gameCoverImage_1920x1080.png,IndieGameStand,
,,,,,,,
,,,,,,,
itch.io,,,,,,,
coverImage,315,250,png,1,coverImage_315x250.png,ItchIO,
banner,1920,400,png,1,banner_1920x400.png,ItchIO,*any size can be used
background,1920,1920,png,1,background_1920x1920.png,ItchIO,*any size can be used
,,,,,,,
Steam,,,,,,,
headerImage,460,215,png,1,headerImage_460x215.png,Steam,
smallCapsuleImage,231,87,png,1,smallCapsuleImage_231x87.png,Steam,
largeCapsuleImage,467,181,png,1,largeCapsuleImage_467x181.png,Steam,
mainCapsuleImage,616,353,png,1,mainCapsuleImage_616x353.png,Steam,
pageBackground,1004,626,png,1,pageBackground_1004x626.png,Steam,
screenshot,1920,1080,png,1,screenshot_1920x1080.png,Steam,
capsule,184,69,png,1,capsule_184x69.png,Steam,
communityIcon,32,32,png,1,communityIcon_32x32.png,Steam,
clientImage,16,16,png,1,clientImage_16x16.png,Steam,
clientIconWind,32,32,ico,1,clientIconWind_32x32.ico,Steam,
clientIconOSX,32,32,ICNS,1,clientIconOSX_32x32.ICNS,Steam,
clientIconLinux,16,16,png,1,clientIconLinux_16x16.png,Steam,
clientIconLinux,24,24,png,1,clientIconLinux_24x24.png,Steam,
clientIconLinux,32,32,png,1,clientIconLinux_32x32.png,Steam,
clientIconLinux,64,64,png,1,clientIconLinux_64x64.png,Steam,
clientIconLinux,96,96,png,1,clientIconLinux_96x96.png,Steam,
